name,utm_x,utm_y
19_TAIL1,547667.3805,4302090.465
20_TAIL1,547667.2989,4302091.267
21_TAIL1,547670.8064,4302091.9
22_TAIL1,547669.8857,4302091.837
23_TAIL1,547668.8682,4302091.946
24_TAIL1,547667.8898,4302091.921
25_TAIL1,547667.2952,4302091.879
1_TAIL2,547712.0578,4302147.12
2_TAIL2,547711.1763,4302147.051
3_TAIL2,547710.0362,4302147.054
4_TAIL2,547708.9829,4302146.93
5_TAIL2,547708.0793,4302146.946
6_TAIL2,547708.0099,4302147.76
7_TAIL2,547708.9775,4302147.83
8_TAIL2,547710.0207,4302147.836
9_TAIL2,547711.151,4302147.672
10_TAIL2,547712.0001,4302147.763
11_TAIL2,547711.963,4302148.566
12_TAIL2,547711.0164,4302148.592
13_TAIL2,547709.9295,4302148.682
14_TAIL2,547708.9724,4302148.666
15_TAIL2,547707.9617,4302148.617
16_TAIL2,547707.9669,4302149.527
17_TAIL2,547708.9783,4302149.48
18_TAIL2,547709.9141,4302149.453
19_TAIL2,547710.9685,4302149.406
20_TAIL2,547711.8509,4302149.325
21_TAIL2,547711.7924,4302150.118
22_TAIL2,547710.8891,4302150.07
23_TAIL2,547709.9101,4302150.117
24_TAIL2,547708.9208,4302150.09
25_TAIL2,547707.9744,4302150.073
1_TAIL5,547537.6065,4301987.043
2_TAIL5,547536.6328,4301987.037
3_TAIL5,547535.5956,4301987.125
4_TAIL5,547534.5272,4301987.181
5_TAIL5,547537.6009,4301987.981
6_TAIL5,547536.4386,4301987.974
7_TAIL5,547535.5273,4301988.031
8_TAIL5,547534.5218,4301988.088
9_TAIL5,547537.5323,4301988.951
10_TAIL5,547536.4007,4301989.069
11_TAIL5,547535.2697,4301989.094
12_TAIL5,547534.4223,4301988.963
13_TAIL5,547537.2751,4301989.919
14_TAIL5,547536.1443,4301989.912
15_TAIL5,547535.1393,4301989.875
16_TAIL5,547534.354,4301989.87
17_TAIL5,547537.2074,4301990.732
18_TAIL5,547536.0449,4301990.788
19_TAIL5,547535.1024,4301990.782
20_TAIL5,547534.2861,4301990.715
21_TAIL5,547533.4593,4301987.143
22_TAIL5,547533.4223,4301988.081
23_TAIL5,547533.4172,4301988.926
24_TAIL5,547533.3484,4301989.927
25_TAIL5,547533.4065,4301990.709
1_WHIT6,549608.555,4302278.925
2_WHIT6,549607.565,4302278.944
3_WHIT6,549606.5992,4302279.024
4_WHIT6,549605.671,4302279.031
5_WHIT6,549604.6687,4302279.024
6_WHIT6,549604.6267,4302279.801
7_WHIT6,549605.6784,4302279.819
8_WHIT6,549606.5077,4302279.8
9_WHIT6,549607.5726,4302279.696
10_WHIT6,549608.5497,4302279.776
11_WHIT6,549608.4705,4302280.576
12_WHIT6,549607.5419,4302280.645
13_WHIT6,549606.4895,4302280.724
14_WHIT6,549605.5987,4302280.694
15_WHIT6,549604.658,4302280.737
16_WHIT6,549604.6039,4302281.452
17_WHIT6,549605.532,4302281.458
18_WHIT6,549606.4604,4302281.427
19_WHIT6,549607.4878,4302281.384
20_WHIT6,549608.342,4302281.327
21_WHIT6,549608.2881,4302282.03
22_WHIT6,549607.3105,4302282.023
23_WHIT6,549606.3324,4302282.116
24_WHIT6,549605.4788,4302282.049
25_WHIT6,549604.6247,4302282.093
1_WHIT8,549649.0957,4302407.402
2_WHIT8,549648.0927,4302407.428
3_WHIT8,549646.8683,4302407.399
4_WHIT8,549645.7703,4302407.423
5_WHIT8,549644.63,4302407.458
6_WHIT8,549644.6994,4302408.184
7_WHIT8,549645.7227,4302408.285
8_WHIT8,549646.9054,4302408.23
9_WHIT8,549648.1303,4302408.164
10_WHIT8,549649.0696,4302408.201
11_WHIT8,549649.0647,4302408.979
12_WHIT8,549648.0199,4302408.941
13_WHIT8,549646.8899,4302409.007
14_WHIT8,549645.7079,4302408.969
15_WHIT8,549644.7155,4302408.973
16_WHIT8,549644.7425,4302409.73
17_WHIT8,549645.6388,4302409.883
18_WHIT8,549646.8109,4302409.817
19_WHIT8,549647.9409,4302409.75
20_WHIT8,549648.9966,4302409.746
21_WHIT8,549648.96,4302410.534
22_WHIT8,549647.9042,4302410.549
23_WHIT8,549646.7427,4302410.594
24_WHIT8,549645.6659,4302410.608
25_WHIT8,549644.7792,4302410.603
1_WHIT9,549732.2949,4302313.503
2_WHIT9,549731.3427,4302313.479
3_WHIT9,549730.3807,4302313.501
4_WHIT9,549729.2868,4302313.522
5_WHIT9,549728.0227,4302313.589
6_WHIT9,549728.1313,4302314.313
